Section / Page (பிரிவு),Field Name / Key (புலம்),Context / Instruction (விளக்கம்),English Value (ஆங்கில மதிப்பு) *[REQUIRED]*,Tamil Value (தமிழ் மதிப்பு) *[REQUIRED]*
About Us Page,Our Mission (Paragraph),Core purpose of the business,"Our mission is to bridge the gap between ancient agricultural wisdom and modern lifestyle needs by offering honest, unadulterated, and preservative-free food, while sustaining a transparent ecosystem that honors the health of both the consumer and the soil","பாரம்பரிய விவசாய அறிவையும் இன்றைய நுகர்வோரின் ஆரோக்கியத் தேவைகளையும் நேர்மையுடன் இணைப்பதே எங்களது லட்சியம்; கலப்படமற்ற, பதப்படுத்தப்படாத உன்னத உணவுகளை வழங்குவதன் மூலம், மக்களின் ஆரோக்கியத்தையும் நிலத்தின் வளத்தையும் ஒருசேரப் பாதுகாக்கும் நீடித்த வாழ்வியலை உருவாக்குவதே யாது ஆரோக்கியகத்தின் நோக்கம்."
About Us Page - Values,Value 1: Title,Title of first core value,Healing Through Heritage,உணவே மருந்து
About Us Page - Values,Value 1: Description,Details of value 1,"We believe that the ultimate answers to modern lifestyle diseases lie in the wisdom of our ancestors. By bringing back native millets, heirloom rices, and unrefined sweeteners, we treat your kitchen as the primary pharmacy. We focus on preventive health through time-tested nutrition.","நம் முன்னோர்களின் மருத்துவ அறிவியலே இன்றைய வாழ்க்கைமுறை நோய்களுக்கான சிறந்த தீர்வு என்று நாங்கள் நம்புகிறோம். பாரம்பரிய சிறுதானியங்கள், மரபு வழி அரிசி வகைகள் மற்றும் இயற்கையான இனிப்புகளை மீண்டும் உங்கள் சமையலறைக்குக் கொண்டு வருவதன் மூலம், 'உணவே மருந்து' என்ற தத்துவத்தின் அடிப்படையில் நோயற்ற வாழ்விற்கு வழிவகுக்கிறோம்."
About Us Page - Values,Value 2: Title,Title of second core value,The Wisdom of Our Grandparents,நம் தாத்தா பாட்டியின் வாழ்வியல்
About Us Page - Values,Value 2: Description,Details of value 2,"True wellness isn't a modern invention; it is a heritage we temporarily left behind. We carefully curate traditional ingredients that protected our ancestors' physical stamina for generations. This makes it effortless for your family to return to a natural, time-tested baseline of health.","ஆரோக்கியம் என்பது ஏதோ ஒரு புதிய கண்டுபிடிப்பு அல்ல; அது நாம் தற்காலிகமாக மறந்துபோன நம் முன்னோர்களின் வாழ்வியல் முறை. தலைமுறை தலைமுறையாக நம் முன்னோர்களுக்கு அசாத்தியமான உடல்திறனையும் நோய் எதிர்ப்புச் சக்தியையும் தந்த பாரம்பரிய உணவுப் பொருட்களை நாங்கள் தேடித்தேடித் தொகுக்கிறோம். இதன் மூலம், உங்கள் குடும்பம் மீண்டும் அந்த இயற்கை வாழ்விற்குத் திரும்புவதை எளிதாக்குகிறோம்."
About Us Page - Values,Value 3: Title,Title of third core value,Rooted in Our DNA,நம் மரபணுவோடு கலந்தது
About Us Page - Values,Value 3: Description,Details of value 3,"Our bodies naturally thrive on the native foods our ancestors cultivated for thousands of years. We bypass synthetic health supplements and processed alternatives. Instead, we offer native superfoods that sync perfectly with your system to build lasting immunity and natural strength.","நம் உடலமைப்பு ஆயிரக்கணக்கான ஆண்டுகளாக நம் மண்ணில் விளைந்த பாரம்பரிய உணவுகளோடு இயற்கையாகவே பழகிப்போன ஒன்று. செயற்கையான சத்து மாத்திரைகளையும் பதப்படுத்தப்பட்ட நவீன உணவுகளையும் தவிர்த்துவிட்டு, நம் உடலுக்கு முற்றிலும் உகந்த, நோய் எதிர்ப்புச் சக்தியைத் தரும் இயற்கை சூப்பர்ஃபுட்களை (Superfoods) நாங்கள் உங்களுக்கு வழங்குகிறோம்."
About Us Page - Values,Value 4: Title,Title of fourth core value,Time-Tested Vitality,சுருக்கமான வாசகம்
About Us Page - Values,Value 4: Description,Details of value 4,"No modern gimmicks. We revive indigenous grains, wood-pressed oils, and ancestral health secrets to help your family live a life of vibrant, natural energy.","நவீன காலத்து குறுக்குவழிகள் எதுவும் இன்றி, நம் மண்ணின் பாரம்பரிய சிறுதானியங்கள், மரச்செக்கு எண்ணெய்கள் மற்றும் முன்னோர்களின் ஆரோக்கிய ரகசியங்களை மீட்டுருவாக்கம் செய்து, உங்கள் குடும்பத்திற்குத் தூய்மையான, இயற்கையான வாழ்வாதாரத்தை வழங்குகிறோம்."
About Us Page - Timeline,Timeline 2020,Milestone achieved in 2020,"The Foundation (Our Roots):The First Seed Sown: Successfully transitioned our private land into a 100% Natural Farming ecosystem, committing to chemical-free soil health.Harvesting Purity: Achieved our first successful harvests of indigenous crops, validating that traditional farming can be both sustainable and bountiful.","அடித்தளம் - எங்கள் வேர்கள் - விதைக்கப்பட்ட முதல் விதை: எங்களது சொந்த விவசாய நிலத்தை, மண்ணின் வளம் காக்கும் 100% இயற்கை விவசாயப் பண்ணையாக (Natural Farming Farm) வெற்றிகரமாக மாற்றியமைத்தோம். தூய்மையான அறுவடை: ரசாயனங்கள் அற்ற பாரம்பரியப் பயிர்களின் முதல் அறுவடையை வெற்றிகரமாக நிகழ்த்தி, இயற்கை விவசாயம் சாத்தியமானது என்பதை நிரூபித்தோம்."
About Us Page - Timeline,Timeline 2022,Milestone achieved in 2022,"Community & Procurement (Expanding the Vision) - The Partner Farmer Network: United with a close-knit circle of trusted, traditional local farmers who share our strict principles of clean cultivation without expensive corporate labels.The Clean-Sourcing Guarantee: Developed our internal vetting protocol to strictly guarantee zero adulteration across every product we source.","சமூகம் மற்றும் கொள்முதல் - விவசாயிகளின் கூட்டமைப்பு: கார்ப்பரேட் சான்றிதழ்களை (Certifications) மட்டுமே நம்பியிருக்காமல், நேர்மையான முறையில் தூய்மையான உணவை விளைவிக்கும் நம்பிக்கையான உள்ளூர் விவசாயிகளைத் தேர்ந்தெடுத்து எங்களோடு இணைத்துக் கொண்டோம். கலப்படமற்ற தரம்: நாங்கள் வாங்கும் ஒவ்வொரு பொருளிலும் 100% கலப்படமோ, செயற்கை நிறமிகளோ, நச்சுப் பாதுகாப்புப் பொருட்களோ (Preservatives) இல்லை என்பதை உறுதி செய்யும் கடுமையான தரக்கட்டுப்பாட்டு முறையை உருவாக்கினோம்."
About Us Page - Timeline,Timeline 2024,Milestone achieved in 2024,"The Retail Launch (Yathu Arokiyagam Store) - Opening Our Doors: Launched the dedicated Yathu Arokiyagam flagship store, creating a physical sanctuary for families choosing a conscious, healthy lifestyle.Bringing Back the Heritage: Introduced a fully stocked catalog of ancestral essentials—including cold-pressed Marachekku oils, heirloom rices, native millets, and unrefined sweeteners—making healthy living easily accessible.","கடைத் தொடக்கம் - யாது ஆரோக்கியகம் தொடக்கம்: ஆரோக்கியமான வாழ்க்கை முறையைத் தேர்ந்தெடுக்கும் மக்களுக்காக, அனைத்து நன்மைகளும் ஒருசேரக் கிடைக்கும் 'யாது ஆரோக்கியகம்' பிரத்யேக அங்காடியைத் (Store) தொடங்கினோம். பாரம்பரிய மீட்பு: மரச்செக்கு எண்ணெய்கள், பாரம்பரிய அரிசி வகைகள், சிறுதானியங்கள் மற்றும் இயற்கையான இனிப்புகள் போன்ற முன்னோர்களின் உணவுப் பொருட்களை ஒரே கூரையின் கீழ் கொண்டு வந்து, ஆரோக்கியமான வாழ்வை எளிதாக்கினோம்."
About Us Page - Timeline,Timeline 2026,Milestone achieved in 2026,Serving thousands of families across Tamil Nadu with naturally grown traditional food delivered to their doorsteps.,இயற்கையாக விளைந்த பாரம்பரிய உணவுகளை தமிழ்நாடு முழுவதும் ஆயிரக்கணக்கான குடும்பங்களுக்கு வீட்டிற்கே கொண்டு சேர்க்கிறோம்.
Policies,Shipping Timeframe Details,Standard delivery transit times info,Deliveries are made within 2-5 days within Tamil Nadu.,தமிழ்நாட்டிற்குள் 2 முதல் 5 நாட்களுக்குள் டெலிவரி செய்யப்படும்.
Policies,Return Eligibility Days,How many days client allows for return (Default 7),7 days return eligibility,7 நாட்கள் வரை மாற்றித்தரும் வசதி
Policies,Return Policy Rules,Acceptable reasons & refund details,Refund will be processed to original payment method within 3-5 business days or instant store credit.,3-5 வேலை நாட்களில் அசல் கட்டண முறைக்கோ அல்லது உடனடியாக ஸ்டோர் கிரெடிட்டிலோ பணம் திருப்பி செலுத்தப்படும்.
