Section / Page (பிரிவு),Field Name / Key (புலம்),Context / Instruction (விளக்கம்),English Value (ஆங்கில மதிப்பு) *[REQUIRED]*,Tamil Value (தமிழ் மதிப்பு) *[REQUIRED]*
About Us Page - Values,Value 2: Description,Details of value 2,"No middlemen. We buy directly from organic farmers, ensuring fair payouts.",இடைத்தரகர்கள் இல்லை. நாங்கள் ஆர்கானிக் விவசாயிகளிடம் இருந்து நேரடியாக கொள்முதல் செய்து நியாயமான விலையை வழங்குகிறோம்.
About Us Page - Values,Value 3: Title,Title of third core value,Eco-Friendly Sourcing,சுற்றுச்சூழலுக்கு உகந்தது
About Us Page - Values,Value 3: Description,Details of value 3,Supporting sustainable agriculture that restores soil health and saves water resources.,மண் வளத்தை மீட்டெடுக்கும் மற்றும் நீர் ஆதாரங்களை சேமிக்கும் நிலையான விவசாய முறைகளை நாங்கள் ஆதரிக்கிறோம்.
About Us Page - Values,Value 4: Title,Title of fourth core value,Total Transparency,முழுமையான வெளிப்படைத்தன்மை
About Us Page - Values,Value 4: Description,Details of value 4,Scan QR codes on our packs to see the lab testing reports and origin farm details.,ஆய்வக சோதனை அறிக்கைகள் மற்றும் மூலப் பண்ணை விவரங்களைக் காண எங்கள் பேக்குகளில் உள்ள QR குறியீடுகளை ஸ்கேன் செய்யலாம்.
About Us Page - Timeline,Timeline 2020,Milestone achieved in 2020,Started in 2020 with 5 local farms,2020ல் 5 உள்ளூர் பண்ணைகளுடன் தொடங்கப்பட்டது
About Us Page - Timeline,Timeline 2022,Milestone achieved in 2022,Expanded to 50+ organic growers and launched packaging facility,50+ ஆர்கானிக் விவசாயிகள் மற்றும் சொந்த பேக்கேஜிங் வசதி
About Us Page - Timeline,Timeline 2024,Milestone achieved in 2024,Introduced lab testing QR tracking for every batch,ஒவ்வொரு பேட்சிற்கும் ஆய்வக சோதனை QR டிராக்கிங்
About Us Page - Timeline,Timeline 2026,Milestone achieved in 2026,"Serving 50,000+ organic customers with home delivery","50,000+ ஆர்கானிக் வாடிக்கையாளர்களுக்கு வீட்டு விநியோகம்"
Policies,Terms & Conditions,General website terms & usage agreements,Please read these terms carefully before placing an order...,ஆர்டர் செய்வதற்கு முன் இந்த விதிமுறைகளை கவனமாக படிக்கவும்...
Policies,Privacy Policy,How user data is collected and protected,,
Policies,Shipping Timeframe Details,Standard delivery transit times info,Deliveries are made within 2-3 business days in Chennai and 3-5 days in other parts of TN.,"சென்னையில் 2-3 வேலை நாட்களிலும், தமிழ்நாட்டின் பிற பகுதிகளில் 3-5 வேலை நாட்களிலும் டெலிவரி செய்யப்படும்."
Policies,Return Eligibility Days,How many days client allows for return (Default 7),7 days return eligibility,7 நாட்கள் வரை மாற்றித்தரும் வசதி
Policies,Return Policy Rules,Acceptable reasons & refund details,Refund will be processed to original payment method within 3-5 business days or instant store credit.,3-5 வேலை நாட்களில் அசல் கட்டண முறைக்கோ அல்லது உடனடியாக ஸ்டோர் கிரெடிட்டிலோ பணம் திருப்பி செலுத்தப்படும்.
FAQ Page,FAQ 1: Question,Common question about orders,How do I check my order status?,எனது ஆர்டர் நிலையை நான் எவ்வாறு சரிபார்க்கலாம்?
FAQ Page,FAQ 1: Answer,Answer for FAQ 1,You can check status using the Track Order page with your order number and mobile number.,ஆர்டர் எண் மற்றும் மொபைல் எண்ணைப் பயன்படுத்தி ஆர்டரைத் தொடரவும் (Track Order) பக்கத்தில் சரிபார்க்கலாம்.
FAQ Page,FAQ 2: Question,Common question about delivery,What are the delivery charges?,டெலிவரி கட்டணம் எவ்வளவு?
FAQ Page,FAQ 2: Answer,Answer for FAQ 2,"We offer free delivery for orders above ₹499. For orders below, a flat charge of ₹50 is applicable.",₹499க்கு மேற்பட்ட ஆர்டர்களுக்கு இலவச டெலிவரி. அதற்கு குறைவான ஆர்டர்களுக்கு ₹50 டெலிவரி கட்டணம் பொருந்தும்.
FAQ Page,FAQ 3: Question,Common question about products,Are all products certified organic?,அனைத்து தயாரிப்புகளும் ஆர்கானிக் சான்றிதழ் பெற்றவையா?
FAQ Page,FAQ 3: Answer,Answer for FAQ 3,"Yes, 100% of our products are sourced directly from certified organic farms and tested in labs.","ஆம், எங்களது தயாரிப்புகள் 100% சான்றளிக்கப்பட்ட ஆர்கானிக் பண்ணைகளிலிருந்து பெறப்பட்டு ஆய்வகத்தில் சோதிக்கப்படுகின்றன."
